Rewind12L_Static=,1,Rewind12L_Dynamic=,2,Rewind12R_Static=,1,Rewind12R_Dynamic=,2,Rewind13L_Static=,1,Rewind13L_Dynamic=,2.75,Rewind13R_Static=,1,Rewind13R_Dynamic=,2.75,Rewind15L_Static=,1.25,Rewind15R_Dynamic=,3,Rewind15L_Static=,1.25,Rewind15R_Dynamic=,3
Date,Time,Rewind12L_SpeedSet,Rewind12L_TorqueSet,Rewind12L_SpeedAct,Rewind12L_TorqueAct,Rewind12R_SpeedSet,Rewind12R_TorqueSet,Rewind12R_SpeedAct,Rewind12R_TorqueAct,Rewind13L_SpeedSet,Rewind13L_TorqueSet,Rewind13L_SpeedAct,Rewind13L_TorqueAct,Rewind13R_SpeedSet,Rewind13R_TorqueSet,Rewind13R_SpeedAct,Rewind13R_TorqueAct,Rewind15L_SpeedSet,Rewind15L_TorqueSet,Rewind15L_SpeedAct,Rewind15L_TorqueAct,Rewind15R_SpeedSet,Rewind15R_TorqueSet,Rewind15R_SpeedAct,Rewind15R_TorqueAct
07-12-2025,16:10:00,500,175,-13,0,500,175,5,0,500,175,3,0,500,175,-7,0,500,219,-8,0,500,219,-3,0
07-12-2025,16:10:00,500,175,-2,0,500,175,-2,0,500,175,-4,0,500,175,-5,0,500,219,-5,0,500,219,-7,0
07-12-2025,16:10:01,500,175,7,0,500,175,-3,0,500,175,3,0,500,175,-4,0,500,219,-2,0,500,219,4,0
07-12-2025,16:10:01,500,175,0,0,500,175,-2,0,500,175,5,0,500,175,-1,0,500,219,-5,0,500,219,-2,0
07-12-2025,16:10:02,500,175,-6,0,500,175,-4,0,500,175,0,0,500,175,-6,0,500,219,-2,0,500,219,3,0
07-12-2025,16:10:02,500,175,0,0,500,175,-2,0,500,175,-7,0,500,175,-2,0,500,219,-2,0,500,219,-3,0
07-12-2025,16:10:03,500,175,-6,0,500,175,0,0,500,175,7,0,500,175,-3,0,500,219,4,0,500,219,-11,0
07-12-2025,16:10:03,500,175,1,0,500,175,-2,0,500,175,5,0,500,175,3,0,500,219,2,0,500,219,-5,0
07-12-2025,16:10:04,500,175,-6,0,500,175,6,0,500,175,1,0,500,175,1,0,500,219,4,0,500,219,-6,0
07-12-2025,16:10:04,500,175,0,0,500,175,-3,0,500,175,0,0,500,175,1,0,500,219,-2,0,500,219,0,0
07-12-2025,16:10:05,500,175,-5,0,500,175,-5,0,500,175,11,0,500,175,4,0,500,219,2,0,500,219,1,0
07-12-2025,16:10:05,500,175,-5,0,500,175,0,0,500,175,0,0,500,175,-1,0,500,219,-2,0,500,219,6,0
07-12-2025,16:10:06,500,175,-6,0,500,175,-4,0,500,175,-5,0,500,175,4,0,500,219,4,0,500,219,-5,0
07-12-2025,16:10:06,500,175,0,0,500,175,-6,0,500,175,-3,0,500,175,1,0,500,219,0,0,500,219,1,0
07-12-2025,16:10:07,500,175,-7,0,500,175,-3,0,500,175,2,0,500,175,2,0,500,219,-4,0,500,219,5,0
07-12-2025,16:10:07,500,175,7,0,500,175,-5,0,500,175,11,0,500,175,-3,0,500,219,0,0,500,219,1,0
07-12-2025,16:10:08,500,175,2,0,500,175,2,0,500,175,-2,0,500,175,-2,0,500,219,5,0,500,219,2,0
07-12-2025,16:10:08,500,175,8,0,500,175,2,0,500,175,-5,0,500,175,1,0,500,219,2,0,500,219,0,0
07-12-2025,16:10:09,500,175,3,0,500,175,0,0,500,175,4,0,500,175,9,0,500,219,2,0,500,219,-3,0
07-12-2025,16:10:09,500,175,-6,0,500,175,-5,0,500,175,6,0,500,175,-4,0,500,219,5,0,500,219,1,0
07-12-2025,16:10:10,500,175,-6,0,500,175,-2,0,500,175,0,0,500,175,2,0,500,219,3,0,500,219,8,0
07-12-2025,16:10:10,500,175,10,0,500,175,0,0,500,175,-4,0,500,175,-2,0,500,219,-1,0,500,219,2,0
07-12-2025,16:10:11,500,175,4,0,500,175,5,0,500,175,1,0,500,175,4,0,500,219,0,0,500,219,1,0
07-12-2025,16:10:11,500,175,-6,0,500,175,-6,0,500,175,-7,0,500,175,-5,0,500,219,9,0,500,219,2,0
07-12-2025,16:10:12,500,175,-1,0,500,175,6,0,500,175,12,0,500,175,-2,0,500,219,2,0,500,219,5,0
07-12-2025,16:10:12,500,175,-3,0,500,175,6,0,500,175,0,0,500,175,1,0,500,219,1,0,500,219,2,0
07-12-2025,16:10:13,500,175,-3,0,500,175,-7,0,500,175,14,0,500,175,3,0,500,219,-5,0,500,219,1,0
07-12-2025,16:10:13,500,175,0,0,500,175,-2,0,500,175,-3,0,500,175,10,0,500,219,2,0,500,219,-3,0
07-12-2025,16:10:14,500,175,8,0,500,175,3,0,500,175,1,0,500,175,0,0,500,219,2,0,500,219,-3,0
07-12-2025,16:10:14,500,175,0,0,500,175,-7,0,500,175,8,0,500,175,0,0,500,219,2,0,500,219,-2,0
07-12-2025,16:10:15,500,175,-3,0,500,175,-1,0,500,175,-6,0,500,175,-2,0,500,219,1,0,500,219,2,0
07-12-2025,16:10:15,500,175,-3,0,500,175,2,0,500,175,3,0,500,175,2,0,500,219,-1,0,500,219,-2,0
07-12-2025,16:10:16,500,175,1,0,500,175,1,0,500,175,3,0,500,175,1,0,500,219,0,0,500,219,7,0
07-12-2025,16:10:16,500,175,-3,0,500,175,3,0,500,175,-5,0,500,175,0,0,500,219,-6,0,500,219,0,0
07-12-2025,16:10:17,500,175,-4,0,500,175,1,0,500,175,0,0,500,175,5,0,500,219,-2,0,500,219,-6,0
07-12-2025,16:10:17,500,175,2,0,500,175,-3,0,500,175,8,0,500,175,0,0,500,219,-3,0,500,219,-5,0
07-12-2025,16:10:18,500,175,-2,0,500,175,0,0,500,175,-4,0,500,175,0,0,500,219,5,0,500,219,3,0
07-12-2025,16:10:18,500,175,-6,0,500,175,-8,0,500,175,-7,0,500,175,4,0,500,219,6,0,500,219,-7,0
07-12-2025,16:10:19,500,175,-4,0,500,175,3,0,500,175,-12,0,500,175,3,0,500,219,0,0,500,219,-2,0
07-12-2025,16:10:19,500,175,3,0,500,175,-5,0,500,175,9,0,500,175,4,0,500,219,3,0,500,219,-5,0
07-12-2025,16:10:20,500,175,-3,0,500,175,6,0,500,175,4,0,500,175,2,0,500,219,1,0,500,219,0,0
07-12-2025,16:10:20,500,175,7,0,500,175,6,0,500,175,-2,0,500,175,5,0,500,219,4,0,500,219,-3,0
07-12-2025,16:10:21,500,175,3,0,500,175,-1,0,500,175,4,0,500,175,-6,0,500,219,2,0,500,219,0,0
07-12-2025,16:10:21,500,175,1,0,500,175,5,0,500,175,3,0,500,175,-7,0,500,219,0,0,500,219,-1,0
07-12-2025,16:10:22,500,175,2,0,500,175,-6,0,500,175,0,0,500,175,-5,0,500,219,-1,0,500,219,-2,0
07-12-2025,16:10:22,500,175,-1,0,500,175,2,0,500,175,6,0,500,175,3,0,500,219,4,0,500,219,3,0
07-12-2025,16:10:23,500,175,-6,0,500,175,-2,0,500,175,1,0,500,175,-1,0,500,219,6,0,500,219,-1,0
07-12-2025,16:10:23,500,175,-3,0,500,175,5,0,500,175,8,0,500,175,0,0,500,219,5,0,500,219,-3,0
07-12-2025,16:10:24,500,175,3,0,500,175,-1,0,500,175,0,0,500,175,0,0,500,219,-3,0,500,219,3,0
07-12-2025,16:10:24,500,175,-2,0,500,175,-1,0,500,175,0,0,500,175,1,0,500,219,0,0,500,219,6,0
07-12-2025,16:10:25,500,175,-6,0,500,175,-1,0,500,175,10,0,500,175,-7,0,500,219,-5,0,500,219,-9,0
07-12-2025,16:10:25,500,175,3,0,500,175,-4,0,500,175,-2,0,500,175,2,0,500,219,4,0,500,219,5,0
07-12-2025,16:10:26,500,175,1,0,500,175,-1,0,500,175,-3,0,500,175,5,0,500,219,-3,0,500,219,2,0
07-12-2025,16:10:26,500,175,6,0,500,175,-1,0,500,175,4,0,500,175,2,0,500,219,2,0,500,219,-8,0
07-12-2025,16:10:27,500,175,-5,0,500,175,0,0,500,175,6,0,500,175,1,0,500,219,1,0,500,219,3,0
07-12-2025,16:10:27,500,175,0,0,500,175,-2,0,500,175,-7,0,500,175,-1,0,500,219,-10,0,500,219,3,0
07-12-2025,16:10:28,500,175,3,0,500,175,-3,0,500,175,2,0,500,175,0,0,500,219,8,0,500,219,-3,0
07-12-2025,16:10:28,500,175,5,0,500,175,6,0,500,175,2,0,500,175,-3,0,500,219,-1,0,500,219,0,0
07-12-2025,16:10:29,500,175,0,0,500,175,-2,0,500,175,11,0,500,175,-4,0,500,219,9,0,500,219,9,0
07-12-2025,16:10:29,500,175,3,0,500,175,6,0,500,175,-5,0,500,175,-5,0,500,219,4,0,500,219,-6,0
07-12-2025,16:10:30,500,175,10,0,500,175,5,0,500,175,4,0,500,175,0,0,500,219,-1,0,500,219,4,0
07-12-2025,16:10:30,500,175,1,0,500,175,7,0,500,175,2,0,500,175,-3,0,500,219,4,0,500,219,-2,0
07-12-2025,16:10:31,500,175,1,0,500,175,-1,0,500,175,7,0,500,175,-3,0,500,219,3,0,500,219,-7,0
07-12-2025,16:10:31,500,175,0,0,500,175,3,0,500,175,1,0,500,175,-6,0,500,219,1,0,500,219,-5,0
07-12-2025,16:10:32,500,175,4,0,500,175,4,0,500,175,2,0,500,175,0,0,500,219,1,0,500,219,-7,0
07-12-2025,16:10:32,500,175,-8,0,500,175,8,0,500,175,0,0,500,175,0,0,500,219,0,0,500,219,-3,0
07-12-2025,16:10:33,500,175,1,0,500,175,2,0,500,175,-3,0,500,175,3,0,500,219,4,0,500,219,0,0
07-12-2025,16:10:33,500,175,2,0,500,175,-7,0,500,175,-7,0,500,175,4,0,500,219,-8,0,500,219,-1,0
07-12-2025,16:10:34,500,175,6,0,500,175,0,0,500,175,-5,0,500,175,-4,0,500,219,1,0,500,219,-2,0
07-12-2025,16:10:34,500,175,0,0,500,175,2,0,500,175,-4,0,500,175,-5,0,500,219,1,0,500,219,0,0
07-12-2025,16:10:35,500,175,0,0,500,175,-3,0,500,175,-3,0,500,175,-6,0,500,219,0,0,500,219,0,0
07-12-2025,16:10:35,500,175,3,0,500,175,-6,0,500,175,8,0,500,175,-2,0,500,219,0,0,500,219,-7,0
07-12-2025,16:10:36,500,175,-3,0,500,175,-2,0,500,175,1,0,500,175,-8,0,500,219,0,0,500,219,-4,0
07-12-2025,16:10:36,500,175,0,0,500,175,-1,0,500,175,0,0,500,175,1,0,500,219,3,0,500,219,-3,0
07-12-2025,16:10:37,500,175,1,0,500,175,5,0,500,175,-4,0,500,175,0,0,500,219,-3,0,500,219,2,0
