Rewind10L_Static=,1,Rewind10L_Dynamic=,2.5,Rewind10R_Static=,1,Rewind10R_Dynamic=,2.5,Rewind11L_Static=,2,Rewind11L_Dynamic=,2.75,Rewind11R_Static=,2,Rewind11R_Dynamic=,2.75,Rewind12L_Static=,1,Rewind12R_Dynamic=,2,Rewind12L_Static=,1,Rewind12R_Dynamic=,2
Date,Time,Rewind10L_SpeedSet,Rewind10L_TorqueSet,Rewind10L_SpeedAct,Rewind10L_TorqueAct,Rewind10R_SpeedSet,Rewind10R_TorqueSet,Rewind10R_SpeedAct,Rewind10R_TorqueAct,Rewind11L_SpeedSet,Rewind11L_TorqueSet,Rewind11L_SpeedAct,Rewind11L_TorqueAct,Rewind11R_SpeedSet,Rewind11R_TorqueSet,Rewind11R_SpeedAct,Rewind11R_TorqueAct,Rewind12L_SpeedSet,Rewind12L_TorqueSet,Rewind12L_SpeedAct,Rewind12L_TorqueAct,Rewind12R_SpeedSet,Rewind12R_TorqueSet,Rewind12R_SpeedAct,Rewind12R_TorqueAct
07-12-2025,16:46:31,500,411,-2,-300,500,411,-8,590,500,512,0,900,500,512,2,860,500,345,4,700,500,345,-8,720
07-12-2025,16:46:32,500,411,0,-300,500,411,-1,590,500,512,5,900,500,512,2,860,500,345,-3,700,500,345,3,720
07-12-2025,16:46:32,500,411,0,-300,500,411,8,590,500,512,-3,900,500,512,-5,860,500,345,2,700,500,345,2,720
07-12-2025,16:46:33,500,411,-3,-300,500,411,1,590,500,512,3,900,500,512,-3,860,500,345,5,700,500,345,2,720
07-12-2025,16:46:33,500,411,-6,-300,500,411,-1,590,500,512,4,900,500,512,0,860,500,345,4,700,500,345,2,720
07-12-2025,16:46:34,500,411,-3,-300,500,411,2,590,500,512,-2,900,500,512,1,860,500,345,9,700,500,345,2,720
07-12-2025,16:46:34,500,411,0,-300,500,411,-6,590,500,512,1,900,500,512,-6,860,500,345,2,700,500,345,8,720
07-12-2025,16:46:35,500,411,-8,-300,500,411,-3,590,500,512,5,900,500,512,5,860,500,345,11,700,500,345,-2,720
07-12-2025,16:46:35,500,411,-8,-300,500,411,2,590,500,512,-2,900,500,512,0,860,500,345,0,700,500,345,2,720
07-12-2025,16:46:36,500,411,-2,-310,500,411,4,590,500,512,11,900,500,512,4,860,500,345,2,700,500,345,5,720
07-12-2025,16:46:36,500,411,-3,-300,500,411,-5,590,500,512,0,900,500,512,3,860,500,345,10,700,500,345,2,720
07-12-2025,16:46:37,500,411,2,-300,500,411,0,590,500,512,6,900,500,512,3,860,500,345,-8,700,500,345,3,720
07-12-2025,16:46:37,500,411,2,-310,500,411,10,590,500,512,3,900,500,512,4,860,500,345,-2,700,500,345,3,720
07-12-2025,16:46:38,500,411,2,-300,500,411,-2,590,500,512,-1,900,500,512,-2,860,500,345,1,700,500,345,-4,720
07-12-2025,16:46:38,500,411,-6,-300,500,411,7,590,500,512,3,900,500,512,-11,870,500,345,-7,700,500,345,6,720
07-12-2025,16:46:39,500,411,-4,-300,500,411,-1,590,500,512,-6,900,500,512,-15,860,500,345,-5,700,500,345,2,720
07-12-2025,16:46:39,500,411,3,-300,500,411,6,590,500,512,-2,900,500,512,5,860,500,345,-2,700,500,345,0,720
07-12-2025,16:46:40,500,411,-6,-310,500,411,-8,590,500,512,0,900,500,512,4,860,500,345,-6,700,500,345,-6,720
07-12-2025,16:46:40,500,411,-8,-300,500,411,-1,590,500,512,2,900,500,512,-2,860,500,345,-4,700,500,345,0,720
07-12-2025,16:46:41,500,411,-4,-300,500,411,-3,590,500,512,10,900,500,512,8,860,500,345,-1,700,500,345,-4,720
07-12-2025,16:46:41,500,411,-1,-300,500,411,1,590,500,512,-1,900,500,512,5,860,500,345,6,700,500,345,6,720
07-12-2025,16:46:42,500,411,-3,-300,500,411,7,590,500,512,1,900,500,512,2,870,500,345,-11,700,500,345,10,720
07-12-2025,16:46:42,500,411,5,-300,500,411,-7,590,500,512,2,900,500,512,-2,860,500,345,2,700,500,345,6,720
07-12-2025,16:46:43,500,411,2,-300,500,411,-3,590,500,512,2,900,500,512,-3,860,500,345,9,700,500,345,2,720
07-12-2025,16:46:43,500,411,0,-310,500,411,3,590,500,512,-10,900,500,512,0,860,500,345,-3,700,500,345,0,720
07-12-2025,16:46:44,500,411,3,-300,500,411,-5,590,500,512,-5,900,500,512,-2,860,500,345,-3,700,500,345,-2,720
07-12-2025,16:46:44,500,411,0,-310,500,411,2,590,500,512,0,900,500,512,1,860,500,345,-3,700,500,345,3,720
07-12-2025,16:46:45,500,411,3,-310,500,411,-8,590,500,512,2,900,500,512,0,860,500,345,3,700,500,345,-1,720
07-12-2025,16:46:45,500,411,-5,-310,500,411,9,590,500,512,4,900,500,512,-8,860,500,345,3,700,500,345,0,720
07-12-2025,16:46:46,500,411,2,-310,500,411,-4,590,500,512,-8,900,500,512,1,860,500,345,2,700,500,345,0,720
07-12-2025,16:46:46,500,425,0,-310,500,425,0,590,500,522,-2,900,500,522,-3,870,500,355,-1,700,500,355,-2,720
07-12-2025,16:46:47,500,449,0,-190,500,449,-7,890,500,538,21,10,500,538,-5,870,500,372,-8,-250,500,372,2,730
07-12-2025,16:46:47,500,458,1,540,500,458,13,680,500,544,24,-10,500,544,3,900,500,379,5,20,500,379,-3,-130
07-12-2025,16:46:48,500,458,20,400,500,458,14,910,500,544,0,-50,500,544,8,900,500,379,-2,110,500,379,0,-190
07-12-2025,16:46:48,500,458,-2,170,500,458,9,1100,500,544,-1,-130,500,544,-1,900,500,379,8,180,500,379,16,270
07-12-2025,16:46:49,500,458,11,490,500,458,-3,680,500,544,-1,20,500,544,2,900,500,379,6,230,500,379,14,-300
07-12-2025,16:46:49,500,458,-5,590,500,458,0,530,500,544,0,150,500,544,2,900,500,379,-2,390,500,379,0,-250
07-12-2025,16:46:50,500,458,0,1020,500,458,3,-110,500,544,5,500,500,544,3,900,500,379,-4,420,500,379,1,-250
07-12-2025,16:46:50,500,458,9,1070,500,458,2,-180,500,544,4,660,500,544,3,900,500,379,0,510,500,379,-8,-250
07-12-2025,16:46:51,500,458,1,1030,500,458,3,-130,500,544,-5,750,500,544,0,900,500,379,3,620,500,379,-2,-250
07-12-2025,16:46:51,500,458,1,1000,500,458,0,-110,500,544,6,800,500,544,-5,900,500,379,0,640,500,379,1,-250
07-12-2025,16:46:52,500,458,3,1000,500,458,10,-110,500,544,2,800,500,544,7,900,500,379,-7,650,500,379,-2,-250
07-12-2025,16:46:52,500,458,8,1000,500,458,-10,-110,500,544,-3,800,500,544,-3,900,500,379,4,650,500,379,3,-250
07-12-2025,16:46:53,500,458,-5,1010,500,458,-10,-110,500,544,-4,800,500,544,-8,900,500,379,2,650,500,379,2,-250
07-12-2025,16:46:53,500,458,6,1020,500,458,-2,-110,500,544,-1,800,500,544,0,900,500,379,7,650,500,379,-5,-250
07-12-2025,16:46:54,500,458,-12,1060,500,458,0,-130,500,544,3,800,500,544,3,900,500,379,-3,640,500,379,4,-250
07-12-2025,16:46:54,511,466,-5,1110,511,466,3,-190,511,552,10,800,511,552,3,910,511,387,0,480,511,387,-6,-240
07-12-2025,16:46:55,522,466,5,990,522,466,6,-60,522,552,3,830,522,552,-5,910,522,387,-2,710,522,387,11,-250
07-12-2025,16:46:55,528,467,16,460,528,467,14,250,528,553,24,170,528,553,-6,910,528,387,26,950,528,387,21,-90
07-12-2025,16:46:56,539,467,32,-100,539,467,25,720,539,553,24,670,539,553,-3,910,539,388,29,870,539,388,30,420
07-12-2025,16:46:56,556,475,46,310,556,475,55,850,556,561,37,470,556,561,191,430,556,396,27,10,556,396,39,140
07-12-2025,16:46:57,587,476,55,530,587,476,68,530,587,563,65,180,587,563,64,1010,587,397,64,200,587,397,64,700
07-12-2025,16:46:57,609,478,81,400,609,478,82,380,609,564,101,640,609,564,107,750,609,398,101,240,609,398,100,110
07-12-2025,16:46:58,630,479,95,720,630,479,95,210,630,565,99,360,630,565,106,550,630,399,103,670,630,399,107,350
07-12-2025,16:46:58,652,480,115,290,652,480,117,710,652,566,134,740,652,566,126,370,652,399,123,190,652,399,125,390
07-12-2025,16:46:59,665,480,138,690,665,480,135,290,665,567,138,400,665,567,142,650,665,400,134,610,665,400,139,340
