Rewind10L_Static=,1,Rewind10L_Dynamic=,2.5,Rewind10R_Static=,1,Rewind10R_Dynamic=,2.5,Rewind11L_Static=,1.89999997615814,Rewind11L_Dynamic=,2.75,Rewind11R_Static=,1.89999997615814,Rewind11R_Dynamic=,2.75,Rewind12L_Static=,0.900000035762787,Rewind12R_Dynamic=,2,Rewind12L_Static=,0.900000035762787,Rewind12R_Dynamic=,2
Date,Time,Rewind10L_SpeedSet,Rewind10L_TorqueSet,Rewind10L_SpeedAct,Rewind10L_TorqueAct,Rewind10R_SpeedSet,Rewind10R_TorqueSet,Rewind10R_SpeedAct,Rewind10R_TorqueAct,Rewind11L_SpeedSet,Rewind11L_TorqueSet,Rewind11L_SpeedAct,Rewind11L_TorqueAct,Rewind11R_SpeedSet,Rewind11R_TorqueSet,Rewind11R_SpeedAct,Rewind11R_TorqueAct,Rewind12L_SpeedSet,Rewind12L_TorqueSet,Rewind12L_SpeedAct,Rewind12L_TorqueAct,Rewind12R_SpeedSet,Rewind12R_TorqueSet,Rewind12R_SpeedAct,Rewind12R_TorqueAct
07-12-2025,17:24:54,500,411,3,1070,500,411,3,580,500,494,6,20,500,494,0,640,500,328,-8,-30,500,328,-1,0
07-12-2025,17:24:54,500,411,3,1070,500,411,-4,580,500,494,6,20,500,494,-5,640,500,328,6,-30,500,328,2,0
07-12-2025,17:24:55,500,411,0,1070,500,411,1,580,500,494,-6,20,500,494,-3,640,500,328,-6,-30,500,328,-8,0
07-12-2025,17:24:55,500,411,-9,1070,500,411,7,580,500,494,-2,20,500,494,2,640,500,328,9,-30,500,328,4,0
07-12-2025,17:24:56,500,411,-2,1070,500,411,7,580,500,494,-3,20,500,494,-2,640,500,328,-9,-30,500,328,-1,0
07-12-2025,17:24:56,500,411,-6,1070,500,411,-2,580,500,494,5,20,500,494,-3,640,500,328,5,-30,500,328,0,0
07-12-2025,17:24:57,500,411,-2,1070,500,411,-4,580,500,494,2,20,500,494,2,640,500,328,13,-30,500,328,2,0
07-12-2025,17:24:57,500,411,-3,1070,500,411,7,580,500,494,-1,20,500,494,-1,640,500,328,2,-30,500,328,11,0
07-12-2025,17:24:58,500,411,-6,1070,500,411,-1,580,500,494,3,20,500,494,-3,640,500,328,2,-30,500,328,-7,0
07-12-2025,17:24:58,500,411,0,1070,500,411,4,580,500,494,5,20,500,494,2,640,500,328,-6,-30,500,328,1,0
07-12-2025,17:24:59,500,411,-10,1070,500,411,1,580,500,494,-5,20,500,494,-4,640,500,328,4,-30,500,328,1,0
07-12-2025,17:24:59,500,411,-2,1070,500,411,-4,580,500,494,2,20,500,494,6,640,500,328,0,-30,500,328,-4,0
07-12-2025,17:25:00,500,411,5,1070,500,411,-2,580,500,494,-1,20,500,494,3,640,500,328,0,-30,500,328,-5,0
07-12-2025,17:25:00,500,411,-4,1070,500,411,2,580,500,494,6,20,500,494,-3,640,500,328,1,-30,500,328,2,0
07-12-2025,17:25:01,500,411,2,1070,500,411,-4,580,500,494,-6,20,500,494,-1,640,500,328,-4,-30,500,328,1,0
07-12-2025,17:25:01,500,411,-5,1070,500,411,2,580,500,494,0,20,500,494,0,640,500,328,-2,-30,500,328,3,0
07-12-2025,17:25:02,500,411,-6,1070,500,411,4,580,500,494,6,20,500,494,-3,640,500,328,-6,-30,500,328,-9,0
07-12-2025,17:25:02,500,411,2,1070,500,411,-3,590,500,494,0,20,500,494,3,640,500,328,3,-30,500,328,3,0
07-12-2025,17:25:03,500,411,8,1070,500,411,5,590,500,494,-2,20,500,494,2,640,500,328,3,-30,500,328,0,0
07-12-2025,17:25:03,500,411,-8,1070,500,411,2,580,500,494,3,20,500,494,4,640,500,328,0,-30,500,328,-3,0
07-12-2025,17:25:04,500,411,-2,1070,500,411,0,590,500,494,4,20,500,494,9,640,500,328,-7,-30,500,328,2,0
07-12-2025,17:25:04,500,411,-2,1070,500,411,-2,590,500,494,-4,20,500,494,2,640,500,328,0,-30,500,328,-1,0
07-12-2025,17:25:05,500,411,-2,1070,500,411,6,590,500,494,-2,20,500,494,-4,640,500,328,-2,-30,500,328,-5,0
07-12-2025,17:25:05,500,411,2,1070,500,411,-3,590,500,494,-5,20,500,494,-3,640,500,328,-4,-30,500,328,-4,0
07-12-2025,17:25:06,500,411,-6,1070,500,411,-1,590,500,494,3,20,500,494,-3,640,500,328,1,-30,500,328,3,0
