Rewind01L_Static=,0,Rewind01L_Dynamic=,0,Rewind01R_Static=,0,Rewind01R_Dynamic=,0,Rewind01L_Static=,0,Rewind01L_Dynamic=,0,Rewind01R_Static=,0,Rewind01R_Dynamic=,0,Rewind01L_Static=,0,Rewind01R_Dynamic=,0,Rewind01L_Static=,0,Rewind01R_Dynamic=,0
Date,Time,Rewind01L_SpeedSet,Rewind01L_TorqueSet,Rewind01L_SpeedAct,Rewind01L_TorqueAct,Rewind01R_SpeedSet,Rewind01R_TorqueSet,Rewind01R_SpeedAct,Rewind01R_TorqueAct,Rewind01L_SpeedSet,Rewind01L_TorqueSet,Rewind01L_SpeedAct,Rewind01L_TorqueAct,Rewind01R_SpeedSet,Rewind01R_TorqueSet,Rewind01R_SpeedAct,Rewind01R_TorqueAct,Rewind01L_SpeedSet,Rewind01L_TorqueSet,Rewind01L_SpeedAct,Rewind01L_TorqueAct,Rewind01R_SpeedSet,Rewind01R_TorqueSet,Rewind01R_SpeedAct,Rewind01R_TorqueAct,MainDrive_SpeedSet,MainDrive_SpeedAct,MainDrive_Start,InternalLength,ExternalLength,InternalTorqueRamp,ExternalTorqueRamp
07-12-2025,18:33:12,0,206,3,0,0,193,2,0,0,206,3,0,0,193,2,0,0,206,3,0,0,193,2,0,0,-1,0,8134.0849609375,8134.0849609375,50,50
07-12-2025,18:33:13,0,206,13,0,0,193,1,0,0,206,13,0,0,193,1,0,0,206,13,0,0,193,1,0,0,0,0,8134.0849609375,8134.0849609375,50,50
07-12-2025,18:33:13,0,206,-5,0,0,193,-10,0,0,206,-5,0,0,193,-10,0,0,206,-5,0,0,193,-10,0,0,0,0,8134.0849609375,8134.0849609375,50,50
07-12-2025,18:33:14,0,206,-7,0,0,193,1,0,0,206,-7,0,0,193,1,0,0,206,-7,0,0,193,1,0,0,-1,0,8134.0849609375,8134.0849609375,50,50
07-12-2025,18:33:14,0,206,0,0,0,193,6,0,0,206,0,0,0,193,6,0,0,206,0,0,0,193,6,0,0,0,0,8134.0849609375,8134.0849609375,50,50
07-12-2025,18:33:15,0,206,5,0,0,193,4,0,0,206,5,0,0,193,4,0,0,206,5,0,0,193,4,0,0,0,0,8134.0849609375,8134.0849609375,50,50
07-12-2025,18:33:15,0,206,2,0,0,193,-2,0,0,206,2,0,0,193,-2,0,0,206,2,0,0,193,-2,0,0,-1,0,8134.0849609375,8134.0849609375,50,50
07-12-2025,18:33:16,0,206,-5,0,0,193,6,0,0,206,-5,0,0,193,6,0,0,206,-5,0,0,193,6,0,0,-1,0,8134.0849609375,8134.0849609375,50,50
07-12-2025,18:33:16,0,206,4,0,0,193,-1,0,0,206,4,0,0,193,-1,0,0,206,4,0,0,193,-1,0,0,-1,0,8134.0849609375,8134.0849609375,50,50
07-12-2025,18:33:17,0,206,1,0,0,193,-1,0,0,206,1,0,0,193,-1,0,0,206,1,0,0,193,-1,0,0,-1,0,8134.0849609375,8134.0849609375,50,50
07-12-2025,18:33:17,0,206,1,0,0,193,-4,0,0,206,1,0,0,193,-4,0,0,206,1,0,0,193,-4,0,0,-1,0,8134.0849609375,8134.0849609375,50,50
07-12-2025,18:33:18,0,206,-3,0,0,193,-8,0,0,206,-3,0,0,193,-8,0,0,206,-3,0,0,193,-8,0,0,-1,0,8134.0849609375,8134.0849609375,50,50
07-12-2025,18:33:18,0,206,5,0,0,193,3,0,0,206,5,0,0,193,3,0,0,206,5,0,0,193,3,0,0,-1,0,8134.0849609375,8134.0849609375,50,50
07-12-2025,18:33:19,0,206,-1,0,0,193,-4,0,0,206,-1,0,0,193,-4,0,0,206,-1,0,0,193,-4,0,0,0,0,8134.0849609375,8134.0849609375,50,50
07-12-2025,18:33:19,0,206,-6,0,0,193,-1,0,0,206,-6,0,0,193,-1,0,0,206,-6,0,0,193,-1,0,0,0,0,8134.0849609375,8134.0849609375,50,50
07-12-2025,18:33:20,0,206,1,0,0,193,-1,0,0,206,1,0,0,193,-1,0,0,206,1,0,0,193,-1,0,0,-1,0,8134.0849609375,8134.0849609375,50,50
07-12-2025,18:33:20,0,206,-2,0,0,193,-2,0,0,206,-2,0,0,193,-2,0,0,206,-2,0,0,193,-2,0,0,0,0,8134.0849609375,8134.0849609375,50,50
07-12-2025,18:33:21,0,206,0,0,0,193,4,0,0,206,0,0,0,193,4,0,0,206,0,0,0,193,4,0,0,0,0,8134.0849609375,8134.0849609375,50,50
07-12-2025,18:33:21,0,206,8,0,0,193,-8,0,0,206,8,0,0,193,-8,0,0,206,8,0,0,193,-8,0,0,0,0,8134.0849609375,8134.0849609375,50,50
07-12-2025,18:33:22,0,206,4,0,0,193,-7,0,0,206,4,0,0,193,-7,0,0,206,4,0,0,193,-7,0,0,0,0,8134.0849609375,8134.0849609375,50,50
07-12-2025,18:33:22,0,206,3,0,0,193,7,0,0,206,3,0,0,193,7,0,0,206,3,0,0,193,7,0,0,0,0,8134.0849609375,8134.0849609375,50,50
